Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Post-Up,45.3%,1.7,1,0.583,15%,Below Average,0.8,0.5,1.3,38.9%,38.9%,25%,0%,0%,"29.2%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Post-Up,22.6%,1.1,0.9,0.833,52%,Good,0.4,0.3,0.6,42.9%,42.9%,25%,16.7%,16.7%,"41.7%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Post-Up,17%,0.6,0.7,1.111,-,-,0.2,0.2,0.4,50%,50%,0%,44.4%,44.4%,"55.6%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Post-Up,9.4%,1.7,1.7,1,-,-,0.7,0.7,1.3,50%,50%,20%,20%,20%,"40%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Post-Up,1.9%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Post-Up,1.9%,0.1,0,0,-,-,0,0,0,-,-,100%,0%,0%,"0%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Post-Up,1.9%,0.1,0.2,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,P&R Roll Man,47.1%,0.6,0.7,1.25,-,-,0.2,0.3,0.5,57.1%,71.4%,12.5%,0%,0%,"50%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,P&R Roll Man,17.6%,0.2,0,0,-,-,0.1,0,0.1,0%,0%,33.3%,0%,0%,"0%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,P&R Roll Man,11.8%,0.2,0.2,1,-,-,0.1,0.1,0.2,50%,50%,0%,0%,0%,"50%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,P&R Roll Man,5.9%,0.3,0,0,-,-,0.3,0,0.3,0%,0%,0%,0%,0%,"0%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,P&R Roll Man,5.9%,0.1,0.2,3,-,-,0,0.1,0.1,100%,150%,0%,0%,0%,"100%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,P&R Roll Man,5.9%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,P&R Roll Man,5.9%,0.1,0,0,-,-,0,0,0,-,-,100%,0%,0%,"0%
"
