Team_Name,Player_Name,GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date
Concordia (Chicago) Cougars,Mitch Pelissier,19,33.6,1.36,0.26,20.5,3.7,3.5,1.08,1.2,1.9,0.3,4.4,0.8,3.6,16.5,7.1,9.4,43.1%,48.1%,11.4,5.5,5.9,47.9%,5.1,1.6,3.4,32.3%,6.1,4.7,1.4,77.4%,0.4,4.4,2.4,2019-01-30
Concordia (Chicago) Cougars,Cade Mousel,11,6.7,0.67,0.28,2.8,0.4,0,-,0.5,0,0,0.2,0.1,0.1,3.1,1,2.1,32.4%,45.6%,0.3,0.2,0.1,66.7%,2.8,0.8,2,29%,0.1,0,0.1,0%,0.1,0.1,0.6,2019-01-30
Concordia (Chicago) Cougars,Neil Odonnell,16,25.1,0.48,0.30,3.1,2.8,1.4,1.91,0.9,0.7,0.2,2.2,0.5,1.8,3.2,1.1,2.1,34.6%,40.4%,2.2,0.8,1.4,34.3%,1.1,0.4,0.7,35.3%,0.8,0.5,0.2,66.7%,0,0.7,2.9,2019-01-30
Concordia (Chicago) Cougars,Jalen Meeks,17,29.3,1.18,0.39,15.4,1.5,1.8,0.87,1.9,0.7,0.6,5.6,1.4,4.2,12.4,6.3,6.1,50.7%,55%,10.1,5.2,4.8,52%,2.4,1.1,1.3,45%,2.8,1.8,1.1,62.5%,0.5,2.5,3.3,2019-01-30
Concordia (Chicago) Cougars,Evan Snyder,7,6.1,1.10,0.23,4,0.3,0.1,2,0.3,0.1,0,0.6,0,0.6,3.4,1.3,2.1,37.5%,54.2%,0.6,0.1,0.4,25%,2.9,1.1,1.7,40%,0.3,0.3,0,100%,0,0.1,1.7,2019-01-30
Concordia (Chicago) Cougars,Gabe Elias,1,4,-.20,0,0,0,0,-,0,0,0,0,0,0,1,0,1,0%,0%,0,0,0,-,1,0,1,0%,0,0,0,-,0,0,1,2019-01-30
Concordia (Chicago) Cougars,Kenta Jones,4,3,0.18,0,0.2,0,0.2,0,0,0,0,0.2,0.2,0,0.5,0,0.5,0%,0%,0.2,0,0.2,0%,0.2,0,0.2,0%,0.5,0.2,0.2,50%,0,0.2,0,2019-01-30
Concordia (Chicago) Cougars,Richard Rapp,3,2,1.52,0.50,1,0.3,0,-,0,0,0,0.3,0,0.3,0.7,0.3,0.3,50%,50%,0.3,0.3,0,100%,0.3,0,0.3,0%,0.7,0.3,0.3,50%,0,0.3,0,2019-01-30
Concordia (Chicago) Cougars,Ben Parker,1,4,1073740000.00,1073740000.00,2,0,0,-,0,0,0,1,2,16777215,1,1,0,100%,100%,1,1,0,100%,0,0,0,-,2,0,2,0%,0,0,2,2019-01-30
Concordia (Chicago) Cougars,Israel Dosie,8,20,0.61,0.24,6.6,1.8,2.1,0.82,0.4,0.6,0.2,3.4,0.9,2.5,6.6,2.9,3.8,43.4%,48.1%,4.4,2.2,2.1,51.4%,2.2,0.6,1.6,27.8%,0.8,0.2,0.5,33.3%,0.1,0.9,1.1,2019-01-30
