Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
1,2018-12-23,0.13,3.2,1.7,0.52,0.1,Poor,2.4,0.8,3.2,0.26,0.26,0,0,0,0.26,9,41,6
2,2018-12-23,0.19,4.5,3.4,0.75,0.54,Good,2.8,1.7,4.5,0.37,0.37,0,0,0,0.37,9,41,6
1,2018-12-23,0.1,2.7,2.3,0.86,0.78,Very Good,1.5,1.2,2.7,0.43,0.43,0,0,0,0.43,9,42,6
2,2018-12-23,0.12,2.8,1.7,0.6,0.7,Very Good,2,0.8,2.8,0.3,0.3,0,0,0,0.3,9,42,6
1,2018-12-23,0.77,20,19.2,0.96,0.39,Average,13.6,6.4,20,0.32,0.48,0,0,0,0.32,9,43,6
2,2018-12-23,0.7,17.2,18.7,1.09,0.25,Below Average,10.9,6.2,17.2,0.36,0.55,0,0,0,0.36,9,43,6
2,2018-12-23,0.99,66.7,56.2,0.84,0.55,Good,26.7,19.7,46.4,0.43,0.49,0.19,0.13,0.08,0.39,1,15,6
2,2018-12-23,0.01,0.6,0.6,1,-,-,0.2,0.2,0.3,0.5,0.75,0.25,0.25,0,0.5,1,16,6
2,2018-12-23,0.07,5,4.3,0.86,0.4,Average,1.5,1.4,2.8,0.49,0.61,0.28,0.15,0.03,0.4,1,17,6
1,2018-12-23,1,82.9,82.2,0.99,0.95,Excellent,33.3,29.7,63,0.47,0.56,0.15,0.12,0.09,0.43,10,1,7
2,2018-12-23,1,87.1,85,0.98,0.07,Poor,34,30.4,64.4,0.47,0.54,0.16,0.11,0.07,0.44,1,1,7
1,2018-12-23,0.18,15,18.1,1.21,0.97,Excellent,5.5,6.6,12.1,0.55,0.66,0.11,0.1,0.09,0.51,10,9,7
